	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	Mock-April_family.tsv	Mock-August_family.tsv	Mock-June_family.tsv	N-August_family.tsv
0319-6G20	20.0	11.0	12.0	15.0	3.0	21.0	20.0	19.0	19.0	15.0	18.0	2.0	274.0	48.0	12.0	8.0	0.0	0.0	0.0	0.0
053A03-B-DI-P58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27F-1492R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37-13	1.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	19.0	6.0	4.0	0.0	4.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
4572-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67-14	0.0	2.0	1.0	31.0	11.0	0.0	2.0	4.0	0.0	3.0	3.0	0.0	0.0	24.0	32.0	29.0	0.0	0.0	0.0	0.0
A0839	2.0	1.0	3.0	6.0	6.0	0.0	4.0	12.0	1.0	2.0	2.0	0.0	16.0	10.0	5.0	0.0	0.0	0.0	0.0	0.0
A21b	1.0	1.0	0.0	7.0	3.0	0.0	0.0	1.0	5.0	2.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	12.0
A4b	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB1	2.0	1.0	2.0	1.0	7.0	4.0	4.0	8.0	2.0	1.0	2.0	0.0	20.0	7.0	19.0	4.0	0.0	0.0	0.0	0.0
AEGEAN-169 marine group	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
AKAU3564 sediment group	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKIW781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKYH767	4.0	10.0	10.0	7.0	6.0	7.0	18.0	4.0	27.0	10.0	12.0	12.0	15.0	45.0	5.0	8.0	0.0	0.0	0.0	0.0
Acanthopleuribacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacteraceae	3.0	1.0	20.0	17.0	12.0	0.0	2.0	31.0	9.0	2.0	21.0	14.0	56.0	10.0	20.0	17.0	0.0	0.0	0.0	0.0
Acetobacterales Incertae Sedis	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcaceae	4.0	2.0	0.0	10.0	2.0	3.0	2.0	0.0	3.0	1.0	3.0	4.0	1.0	21.0	4.0	0.0	0.0	0.0	0.0	0.0
Acidiferrobacteraceae	0.0	3.0	6.0	5.0	0.0	0.0	0.0	1.0	8.0	1.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidobacteriaceae (Subgroup 1)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomycetaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonadaceae	106.0	128.0	277.0	151.0	50.0	28.0	86.0	96.0	24.0	16.0	33.0	26.0	250.0	219.0	41.0	46.0	1.0	0.0	0.0	81.0
Alcanivoracaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alicyclobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alteromonadaceae	19.0	30.0	75.0	14.0	6.0	11.0	25.0	79.0	5.0	11.0	4.0	21.0	40.0	15.0	4.0	13.0	0.0	0.0	0.0	14.0
Amb-16S-1323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amoebophilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerolineaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaplasmataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquaspirillaceae	24.0	18.0	24.0	35.0	13.0	14.0	12.0	9.0	14.0	9.0	1.0	0.0	248.0	22.0	4.0	10.0	0.0	0.0	0.0	0.0
Archangiaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcobacteraceae	2466.0	210.0	149.0	300.0	173.0	3520.0	1205.0	181.0	2909.0	489.0	363.0	23.0	605.0	4788.0	4618.0	6033.0	5.0	2.0	0.0	1025.0
Arctic95B-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arenicellaceae	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	17.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Armatimonadaceae	1.0	9.0	3.0	13.0	6.0	3.0	7.0	160.0	14.0	312.0	488.0	189.0	4.0	3.0	613.0	416.0	0.0	3.0	0.0	105.0
Azospirillaceae	0.0	12.0	13.0	4.0	51.0	0.0	4.0	85.0	2.0	15.0	6.0	6.0	21.0	0.0	2.0	0.0	0.0	0.0	0.0	113.0
Azospirillales Incertae Sedis	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	15.0	32.0	3.0	0.0	0.0	0.0	0.0	0.0
B1-7BS	1.0	11.0	5.0	24.0	17.0	1.0	3.0	17.0	14.0	6.0	11.0	2.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
B122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIrii41	3.0	3.0	0.0	14.0	4.0	2.0	7.0	30.0	4.0	4.0	5.0	1.0	66.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
BSV26	0.0	2.0	0.0	8.0	4.0	0.0	3.0	10.0	25.0	10.0	8.0	8.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Babeliaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacillaceae	3.0	16.0	17.0	6.0	30.0	4.0	7.0	65.0	3.0	49.0	32.0	44.0	5.0	27.0	13.0	18.0	4731.0	4383.0	4717.0	36.0
Bacteriovoracaceae	29.0	7.0	4.0	7.0	1.0	35.0	34.0	17.0	47.0	7.0	6.0	0.0	453.0	19.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteroidaceae	12.0	2.0	0.0	11.0	6.0	18.0	11.0	2.0	13.0	1.0	1.0	0.0	2.0	2.0	5.0	13.0	0.0	0.0	0.0	0.0
Bacteroidetes BD2-2	7.0	3.0	0.0	3.0	11.0	1.0	1.0	1.0	6.0	1.0	3.0	0.0	3.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0
Bacteroidetes vadinHA17	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Balneolaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Barnesiellaceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bdellovibrionaceae	0.0	8.0	5.0	24.0	5.0	0.0	1.0	21.0	4.0	11.0	40.0	36.0	48.0	13.0	7.0	5.0	0.0	0.0	0.0	0.0
Beggiatoaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beijerinckiaceae	3.0	12.0	24.0	72.0	43.0	9.0	36.0	46.0	28.0	6.0	35.0	25.0	754.0	77.0	45.0	54.0	0.0	0.0	0.0	560.0
Beutenbergiaceae	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blastocatellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Blfdi19	4.0	7.0	4.0	3.0	4.0	3.0	1.0	5.0	14.0	5.0	4.0	7.0	73.0	7.0	0.0	7.0	0.0	0.0	0.0	0.0
Brocadiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Burkholderiaceae	15670.0	13398.0	16071.0	24500.0	11468.0	11900.0	18771.0	17300.0	14946.0	15992.0	18325.0	26945.0	7112.0	11222.0	4913.0	8300.0	17.0	31.0	52.0	7713.0
C2U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR-115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caedibacteraceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Caldicoprobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caldilineaceae	0.0	0.0	0.0	4.0	0.0	0.0	6.0	3.0	4.0	0.0	0.0	0.0	0.0	23.0	4.0	0.0	0.0	0.0	0.0	0.0
Caldisericaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calditrichaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Campylobacteraceae	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	4.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Carnobacteriaceae	37.0	5.0	12.0	79.0	7.0	41.0	45.0	5.0	50.0	13.0	4.0	5.0	34.0	352.0	5.0	7.0	21.0	31.0	11.0	31.0
Caulobacteraceae	25.0	13.0	13.0	119.0	48.0	36.0	57.0	76.0	40.0	15.0	25.0	33.0	522.0	65.0	26.0	37.0	0.0	0.0	0.0	0.0
Cellvibrionaceae	9.0	8.0	4.0	3.0	2.0	10.0	10.0	41.0	2.0	4.0	1.0	0.0	25.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0
Chitinibacteraceae	7.0	20.0	26.0	11.0	38.0	9.0	24.0	79.0	8.0	17.0	8.0	2.0	208.0	7.0	4.0	5.0	0.0	0.0	0.0	93.0
Chitinimonadaceae	0.0	3.0	0.0	5.0	1.0	1.0	0.0	3.0	0.0	5.0	5.0	0.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Chitinophagaceae	131.0	83.0	51.0	53.0	108.0	85.0	146.0	116.0	230.0	205.0	371.0	129.0	61.0	496.0	553.0	454.0	0.0	0.0	0.0	207.0
Christensenellaceae	17.0	2.0	10.0	47.0	4.0	16.0	16.0	13.0	12.0	11.0	10.0	6.0	14.0	45.0	6.0	0.0	0.0	0.0	0.0	0.0
Chromatiaceae	1.0	1.0	0.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chromobacteriaceae	18.0	17.0	36.0	23.0	26.0	5.0	6.0	44.0	7.0	5.0	8.0	33.0	78.0	2.0	4.0	0.0	0.0	0.0	0.0	6.0
Chroococcidiopsaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Clade III	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	6.0	0.0	20.0	10.0	0.0	0.0	0.0	0.0
Clostridiaceae 1	19.0	14.0	16.0	15.0	107.0	26.0	28.0	107.0	29.0	67.0	77.0	68.0	35.0	87.0	40.0	77.0	0.0	0.0	0.0	41.0
Clostridiaceae 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridiaceae 4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridiales vadinBB60 group	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Competibacteraceae	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	40.0	4.0	2.0	11.0	0.0	0.0	0.0	0.0
Coxiellaceae	9.0	5.0	2.0	0.0	5.0	0.0	5.0	4.0	9.0	3.0	4.0	5.0	50.0	14.0	9.0	15.0	0.0	0.0	0.0	4.0
Crocinitomicaceae	220.0	218.0	166.0	65.0	365.0	301.0	132.0	66.0	210.0	79.0	67.0	26.0	103.0	73.0	191.0	184.0	0.0	0.0	0.0	281.0
Cryomorphaceae	2.0	2.0	10.0	0.0	0.0	0.0	1.0	3.0	0.0	2.0	3.0	0.0	1.0	0.0	64.0	34.0	0.0	0.0	0.0	0.0
Cryptosporangiaceae	2.0	4.0	4.0	5.0	8.0	0.0	1.0	5.0	0.0	4.0	1.0	0.0	0.0	9.0	73.0	68.0	0.0	0.0	0.0	16.0
Cyanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanobiaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	7.0	20.0	0.0	0.0	4.0	116.0	118.0	0.0	0.0	0.0	0.0
Cyclobacteriaceae	25.0	3.0	0.0	5.0	3.0	34.0	25.0	21.0	23.0	7.0	9.0	3.0	28.0	10.0	73.0	117.0	0.0	0.0	0.0	0.0
Cytophagaceae	14.0	3.0	0.0	7.0	4.0	15.0	5.0	15.0	15.0	3.0	1.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
D05-2	0.0	0.0	0.0	2.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deferribacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Defluviitaleaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Deinococcaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Demequinaceae	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfarculaceae	0.0	0.0	0.0	12.0	0.0	0.0	3.0	5.0	10.0	6.0	4.0	0.0	41.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0
Desulfobacteraceae	0.0	2.0	0.0	13.0	0.0	3.0	6.0	6.0	7.0	4.0	1.0	3.0	18.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfobulbaceae	0.0	1.0	0.0	12.0	0.0	0.0	3.0	3.0	7.0	1.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfovibrionaceae	1.0	1.0	0.0	6.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfuromonadaceae	3.0	0.0	0.0	5.0	0.0	0.0	3.0	2.0	2.0	4.0	2.0	0.0	39.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Devosiaceae	14.0	18.0	34.0	97.0	54.0	22.0	39.0	73.0	11.0	16.0	27.0	22.0	273.0	71.0	27.0	23.0	0.0	0.0	0.0	0.0
Diplorickettsiaceae	58.0	297.0	175.0	97.0	152.0	63.0	93.0	721.0	53.0	403.0	345.0	402.0	652.0	133.0	46.0	53.0	0.0	3.0	0.0	443.0
Dongiaceae	0.0	0.0	5.0	9.0	7.0	1.0	1.0	4.0	1.0	4.0	1.0	0.0	31.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Dysgonomonadaceae	1.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ectothiorhodospiraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eggerthellaceae	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Elsteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endomicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterobacteriaceae	239.0	174.0	191.0	219.0	59.0	53.0	130.0	241.0	28.0	32.0	51.0	43.0	258.0	164.0	53.0	58.0	22149.0	22643.0	21475.0	538.0
Enterococcaceae	5.0	1.0	11.0	1.0	0.0	4.0	2.0	13.0	1.0	2.0	3.0	7.0	1.0	5.0	2.0	3.0	1797.0	1708.0	1977.0	0.0
