readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
b2786169-a935-4b26-a35f-19836c30169b	unclassified	0	0	0	0	1181	1
8926de7d-0863-405f-b071-3d6d3d18014f	cid|67780	67780	4842	2500	108	1045	1
da7653e8-ba6d-4eb2-842f-d76b987037a4	cid|90245	90245	1089	0	48	1065	1
10cd6325-66c5-4f92-bcee-669ac238b20c	unclassified	0	0	0	0	1524	1
53503d53-df4e-4fe1-86ed-0ea8ad167af4	cid|332163	332163	576	576	39	1485	2
53503d53-df4e-4fe1-86ed-0ea8ad167af4	cid|453816	453816	576	576	39	1485	2
e9a7c98d-1035-45d2-bc44-c6ee88489ebb	cid|285	285	324	256	33	1215	1
5f46b093-6b81-43b2-83f4-6f1af06d4e1b	unclassified	0	0	0	0	1259	1
cea61419-c1da-48f7-93a8-3390d53808d5	cid|1834519	1834519	324	289	33	1584	1
96ec0ae7-e799-4aca-840a-0218e11d6e5b	cid|191579	191579	875	0	94	1406	1
2f9d05e2-2a77-4209-8a97-0ff5c5329250	cid|2126319	2126319	9604	9604	113	1413	3
2f9d05e2-2a77-4209-8a97-0ff5c5329250	cid|436515	436515	9604	9604	113	1413	3
2f9d05e2-2a77-4209-8a97-0ff5c5329250	cid|1678128	1678128	9604	9604	113	1413	3
3d50833e-eb70-4071-bc15-732a12204773	cid|1564681	1564681	576	576	39	1142	2
3d50833e-eb70-4071-bc15-732a12204773	cid|2751	2751	576	576	39	1142	2
9eade83e-a06c-4796-a1ca-42dc0b0d5362	cid|511746	511746	1369	1369	52	1430	2
9eade83e-a06c-4796-a1ca-42dc0b0d5362	cid|1307763	1307763	1369	1369	52	1430	2
242c902a-b085-4f85-891e-c62f401db8e4	cid|748811	748811	2209	0	62	1582	1
d3946d0d-6e92-4374-a446-8909da191d21	cid|191495	191495	64	0	23	1434	1
fb8dc783-1a90-4ce7-a83f-7e9c5ba05cbe	cid|1662456	1662456	225	225	30	1246	4
fb8dc783-1a90-4ce7-a83f-7e9c5ba05cbe	cid|553814	553814	225	225	30	1246	4
fb8dc783-1a90-4ce7-a83f-7e9c5ba05cbe	cid|1662458	1662458	225	225	30	1246	4
fb8dc783-1a90-4ce7-a83f-7e9c5ba05cbe	cid|1842533	1842533	225	225	30	1246	4
33ea5590-2f7d-4aa4-83f1-a060e624469e	cid|1842540	1842540	10528	0	285	1296	1
3be42bf7-b7ab-422b-994d-031674e30301	cid|1239307	1239307	64	0	23	2720	1
19fa7843-2442-45ea-bf77-cd978d785e94	cid|1085624	1085624	900	900	45	1534	2
19fa7843-2442-45ea-bf77-cd978d785e94	cid|1178516	1178516	900	900	45	1534	2
5d8ee03f-2a45-4e3f-b981-88d43efccc5e	unclassified	0	0	0	0	1893	1
f0e6a20d-1dbc-4b4a-9f64-239c6a3215f9	cid|67780	67780	256	0	31	1522	1
5620ac7a-ed85-42bb-8b8e-71db114bd1ca	unclassified	0	0	0	0	1402	1
c42853d8-397d-48a9-9aee-6c81d2c1ee96	cid|166501	166501	289	289	32	1149	2
c42853d8-397d-48a9-9aee-6c81d2c1ee96	cid|33002	33002	289	289	32	1149	2
f652f1fa-8cf5-4a40-aa9f-eefd1b8bf676	cid|1850254	1850254	7225	3697	100	1377	1
d8e2930a-ecdc-4d06-81de-04da8e39fce2	cid|944547	944547	545	0	84	1497	1
c3eace71-73f2-48e2-a8d2-6874788909a8	unclassified	0	0	0	0	2228	1
64cd1721-1e6a-43aa-9d28-5f4329dd236e	cid|1436290	1436290	784	0	43	1523	1
a44a07a4-c0e3-4de4-9049-8b3dd1ee7ae7	cid|81479	81479	400	400	35	3482	2
a44a07a4-c0e3-4de4-9049-8b3dd1ee7ae7	cid|2067960	2067960	400	400	35	3482	2
