	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
00029e36-a8a1-475e-bbe9-a476734063a3			Dikarya											
00046df4-85bf-487a-aff6-7ac9bc8f1749			Dikarya											
0004af0a-dbbc-4ffc-a9e6-2c1dd1673e9a	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0005739f-9cba-412b-ab87-748ab2bc4c28			Dikarya											
000a11be-daa5-4dd9-bd89-96577851e723			Enterobacteriaceae											
000b0f5b-8b0b-424d-81a7-40eb29884e02			Enterobacteriaceae											
0013c338-cf79-4a01-a097-c0e26018d8e6	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
001f3978-7a2a-4fee-a18a-fe5a4df2df9a			Enterobacteriaceae											
0026980a-394f-4285-b6ac-a42d4a5980cb			Bacillaceae											
0029e4e4-438f-424d-99ac-7e1179133151			Enterobacteriaceae											
0037a65e-788e-448d-b6fe-c86ec366aab2	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0038777c-a555-4d71-bd2f-4e8979de73ac	Listeriaceae	Listeriaceae		Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae		Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae
003f1c07-1081-4d57-93f9-597861eb8876	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
004c4474-b9a9-451e-a454-aff9c19a2de7	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
004de7d0-f040-4446-8f28-df3e20ef5830			Dikarya											
004feeec-9a55-4c30-a5e6-4a470588c995	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
005192a6-aafa-4e4f-b543-0a503b420b20			Dikarya											
00537ae7-2e6f-4014-9e7e-2dac52cc0858	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0059dbca-6fc1-456c-97e9-5c848f49a88c	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
005a7b9b-b0f6-4293-b43a-3624ac57116c	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
005def7b-8185-4b7a-8ddd-228199420d36			Dikarya											
005fadf5-a6ad-4e04-835d-ca0d3546d646	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0061f082-d420-4205-8eb5-915086578176	Listeriaceae	Listeriaceae		Dikarya	Listeriaceae	Enterococcaceae	Staphylococcaceae	Listeriaceae		Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
0065ab77-c00d-457c-9420-537fc029fbf7	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00697dc2-e033-4a61-8a27-68f7653a7320	Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Carnobacteriaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
0071bec1-0b8d-45c9-9963-5758b0126317			Dikarya											
0073bc25-8fc1-42a2-9458-5d7d51d4115d	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0074d732-6995-4357-af71-bed692b8069d	Enterobacteriaceae			Dikarya	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00756dfd-76f8-42ec-8008-c513335414eb			Dikarya											
0078442a-5aa9-46f0-8b84-a86d731e0331			Bacillaceae											
007c48e7-6390-44f5-bbc1-d9a893d66edc	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
007e9fc7-29ce-4da3-8032-3960ea9c4040			Dikarya											
007ea92e-5f20-411e-af89-1230914544f1			Enterobacteriaceae											
0080949b-33ba-4fba-aa8a-fa46096cc447	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0081d6df-be33-495a-a648-a9f3a3d06e2e	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
008dac34-f41d-4b47-91d5-61f882722767			Enterobacteriaceae											
00929e2c-6cbd-4b86-9305-1afa9f96de81			Dikarya											
009383c5-fbc4-40ed-9bb0-858bae37b755	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0094f06c-5443-4588-aa1f-b5ed387d5bef	Listeriaceae			Listeriaceae	Listeriaceae	Bacillaceae	Bacillaceae	Listeriaceae		Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
0095fe1c-10b7-4542-a202-b14a4f00c706				Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0097beec-bc47-425d-bd1b-405fefb26215	Listeriaceae	Listeriaceae		Dikarya	Listeriaceae		Listeriaceae	Listeriaceae		Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
009a01f1-37d8-413e-8d56-d70dbc1d31cc			Dikarya											
009a1735-c10b-47ff-8126-cb3bf369b3f7			Dikarya											
009ab765-1ab8-45ff-bfd1-f194b4c76b96	Enterococcaceae	Enterococcaceae			Enterococcaceae		Bacillaceae	Listeriaceae		Listeriaceae	Carnobacteriaceae	Enterococcaceae	Listeriaceae	Enterococcaceae
009bdbd3-b55b-4ba0-8cf6-bd37a980aa5a	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
009f915e-bd9e-41ac-9ac3-0f86ab7c783d	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
00a460c1-8db9-429e-a83e-acf6ceccbb59	Bacillaceae			Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
00a6f8c9-3766-401f-a2b0-a35a70aa3598	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00aac33f-5394-4db9-8cc4-b81b8dcc760b			Listeriaceae											
00abfd73-8c6b-4ee1-bb38-230c5b61cd34			Enterobacteriaceae											
00ac7478-0f3a-4606-9a6b-d43e33c18047			Enterobacteriaceae											
00aecdf4-a9f6-46c1-b4d9-93ee46a35009	Staphylococcaceae			Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
00afac7a-a4c4-4654-abbc-f387b8b0fa40			Dikarya											
00b60c9b-39df-49e3-a738-87ffbebe5c04			Dikarya											
00baf5dd-5640-415a-a9ca-826925b6676e			Dikarya											
00bd143d-7254-4360-88dc-1ad7e16e283e	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00c3a75a-8a4a-4324-b276-01993d567a5c			Dikarya											
00c56240-f794-4b59-83b8-0e579fc1d660			Enterobacteriaceae											
00c91204-9d0b-4535-92f2-0b678f48842d			Dikarya											
00cecdc2-848e-4f63-beb0-c23b00f96e16	Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
00d286ba-b1ad-4685-a1b6-38c8bbdea6d3			Enterobacteriaceae											
00d2b57b-a746-40d1-9ade-fa52f6483d55	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00da1450-c389-4c31-81a1-228b10a2da15	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Streptococcaceae	Bacillaceae	Staphylococcaceae		Staphylococcaceae	Bacillaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
00da1d7c-a7b3-4cf5-b7f3-a62b455b1541	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
00e904f9-87c0-408c-a3a7-cb90e34f1cc1	Listeriaceae	Listeriaceae		Listeriaceae	Listeriaceae	Lactobacillaceae		Listeriaceae		Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
00ed0a20-5e96-4255-b7f9-c31c001554e2	Bacillaceae			Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
00f11363-b5e9-4d5b-b437-5de99b45c769	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Bacillaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
00f45f7f-2d3c-40ed-acce-1d8921346d98			Enterobacteriaceae											
00fd0626-1ae9-44cf-80f4-0253ac1031ea	Bacillaceae			Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
00fe86b5-74db-4959-9953-152aa5a8d837			Dikarya											
01033b6f-123a-4953-afc3-b39c91a1f2d7	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Listeriaceae	Enterobacteriaceae		Listeriaceae	Bacillaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0105ed6a-fcc7-4086-a86a-12ceab377717			Dikarya											
01087dd7-574c-4acb-a201-bc5b81901b8f			Enterococcaceae											
010a2549-07de-40d3-81d9-b635e5c99d09	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
010af76e-6d9d-410f-81b4-db1755733861	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
010dc8bc-9c51-41f9-bddc-72deefa76474			Dikarya											
010e3ead-3d0d-4c32-a5a0-a2a6ed7b8ac6	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0112ddd5-fc5f-43ed-bfe8-80284466a740			Enterococcaceae											
0116091d-5e6c-456d-851e-f4418a130ec5	Enterococcaceae	Enterococcaceae		Dikarya	Enterococcaceae	Fodinicurvataceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
01163b85-b450-482f-a000-345641471073			Dikarya											
0116616f-735e-42a4-a3af-3944283bc8cd			Enterobacteriaceae											
012101c6-c709-4198-9687-0c82e573bb01			Dikarya											
012333da-632a-4106-a376-b414956e48a4	Bacillaceae			Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
01258e85-c661-41d2-8033-7e6f250c0159	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0127d0ae-a99d-43a4-a8fb-95ed0abb7e1e			Dikarya											
012874bc-0007-4b0d-a5d0-4a005060ddcc	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
012c9e92-715c-4f26-8c08-be5e1b1e4e8b			Listeriaceae											
012f3f4e-beef-4697-8d8d-fa730390565b			Dikarya											
0132113b-a599-491e-8039-ae17edb5ca69	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Pasteurellaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01321904-e46d-4419-a04e-442198f5c564	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0132555f-c461-4224-85c4-3579450fc1d1			Enterobacteriaceae											
013719ce-8bbd-4eab-b57b-4075ddeb2b99	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
013c1ca2-0f8b-43a8-a118-62f5c93f3589			Dikarya											
01410001-329d-4641-aa18-af948f2d83cf			Enterococcaceae											
01410ea9-7fab-431e-a0e6-4daee9e3dced	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
014c449c-f992-423e-bc38-3fd3bb2bbcd2			Dikarya											
014da172-3d7d-4de7-8f05-961cde588deb			Enterobacteriaceae											
014f3edc-958b-4dbb-b417-46fc525c7179			Bacillaceae											
015683c4-7ae1-4b0a-aa5b-1539b5d8be57	Enterobacteriaceae			Dikarya	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
015bd906-4c11-4bf2-972c-56dacaf291b6	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
015c497b-a318-4ee3-8add-941262634e8d	Bacillaceae			Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
015f6d9b-3437-4ce0-9a2a-6d0e7a33bedb			Dikarya											
0160c778-faea-4721-8e4e-029c3ad0252a	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
016343c4-cdc9-4c55-961e-1beda2ce8cbb	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0167f120-40d7-4db1-a26d-fbfc6347a808	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
016818e0-ce83-4dae-8bb6-cc28ea276c00			Bacillaceae											
0169bd09-77b0-4624-8569-d1e0cafccbfe			Enterobacteriaceae											
0169cd0a-8cb0-43a2-86b9-d84582ddb154	Enterococcaceae	Enterococcaceae		Dikarya	Enterococcaceae	Enterococcaceae	Bacillaceae	Enterococcaceae		Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
016b64a6-6ba9-46be-97c9-90cf2d4f63ec			Dikarya											
016f0ac3-2943-40d3-ae88-292799f5cec5			Enterobacteriaceae											
0170ba56-ac3a-4ab4-81fe-3bd5d4edef32	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
0172b2d9-ec48-49cf-ac16-74850c9003e6			Dikarya											
01759fcb-de8e-4ce7-9210-5ce7c34b9154			Dikarya											
017fb38f-9e5d-4399-9bb3-8f51f096c7d6			Dikarya											
01910318-3285-4c32-b122-f72320444883			Dikarya											
01956798-73c0-4bf7-9608-d4b008aba049			Enterobacteriaceae											
019f08ce-0caa-4ca4-b846-3c04ea9f8a3f	Bacillaceae			Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
01a38d81-8e30-4851-ac49-9a3d6a104622	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01a4dd6c-5075-4e84-ab52-cb4166890a37	Staphylococcaceae			Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
01a81f0e-359f-42c3-a33b-a79157e2e118			Enterobacteriaceae											
01aa4172-4d1a-49db-b10e-a7ba227e4f61	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01afcf99-da6f-40c0-ba3b-1744fe738e7f			Enterobacteriaceae											
01b1d6ba-441c-4b4c-b420-dc483477a99a	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01b2ae3d-fab3-4d08-bccd-6a8046dd6157	Bacillaceae			Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
01b57556-781b-4f84-bbc8-a0324147e0c1	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01ba99e4-f923-4368-bfdc-0b243e61460e			Dikarya											
01bdd237-073a-4861-bad7-9f64b775f62d	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01be3774-a53a-41d7-82d9-a6e0e3bbd13f			Enterobacteriaceae											
01c0ff28-d1b8-470e-8c17-f343b6da0072			Dikarya											
01c31098-6ffb-469b-813f-a459e9aceda3			Dikarya											
01c3161d-6e42-485e-8b79-e4fcf3b14225			Dikarya											
01c52ab7-1b65-4255-b1ec-5c3ec16cdfd6	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01d04da8-c48c-44ae-9032-32047b95026b	Bacillaceae	Bacillaceae		Dikarya	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
01d41aa6-6302-4e19-ad80-bd96ec1e5177			Dikarya											
01d46e3d-917c-41cb-ad4d-def565921448			Enterobacteriaceae											
01db3edd-225c-4598-a696-1f0c93dd43c6	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01de4753-b6d6-4b12-a3a6-4fa4fb0f3230	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01ea8bb4-222c-4a7a-9d15-0a89c6923635			Enterococcaceae											
01ebea9b-7613-41be-97a6-7afa809859ee	Bacillaceae			Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
01ef30ff-6fce-430d-984c-70f5f8b9a7a5	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
01ef68a0-df72-4f32-8bb1-632be56a10d6	Listeriaceae	Listeriaceae		Dikarya	Listeriaceae		Listeriaceae	Listeriaceae		Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
01f2cac8-ce63-4e35-bdff-eb1b3a12688a			Enterobacteriaceae											
01f4dc75-614b-47ad-bbe8-83081666d2f9			Enterococcaceae											
01f94961-7aff-4d26-a59c-08cc8470068c			Enterococcaceae											
01fae797-a890-40bc-9bee-48d6d1712b32			Dikarya											
02018920-d5b5-4aeb-b6b9-94b636a32d63			Dikarya											
0204cff1-76be-4a19-9030-c4a79710ead6			Dikarya											
0204eaa6-9423-4a97-a139-7a1e0f686cc4			Dikarya											
0207f8d2-7945-45db-97f1-d2a47ceaf616	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
02099c3e-c932-4b94-b9b0-9efe75ca46d2	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
020abee1-5c12-46c0-b4d2-cca0fab6dda9	Staphylococcaceae	Staphylococcaceae		Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
021483e3-fbf8-4c57-8528-85be6e346e25			Dikarya											
02168c2e-642c-45d6-b4eb-5e290ca4a325			Enterobacteriaceae											
02170ced-a85a-4155-b87e-1d0189228060			Dikarya											
021a3ced-5bff-4433-8c1d-85901f74846f	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
021b8e9d-524d-4a9a-8967-f9f38c627349			Enterobacteriaceae											
021ca521-d130-414b-8f16-1d872b581b02	Bacillaceae			Bacillaceae	Bacillaceae	Planococcaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
0228ec0a-c106-4d2e-93f7-b767ec000797			Dikarya											
022b4a28-bce3-43cf-8a86-a245ff6b1f5d			Dikarya											
022b78ab-593a-4789-9499-31544fb87f7d			Dikarya											
022b7dfc-a68c-4fe1-8088-97a9c4726303			Dikarya											
